"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3128420,"January 30, 2025",Georgia,Marietta,"347 Pat Mell Rd W",1,0,0,0,0,N/A
3128416,"January 30, 2025",Georgia,Atlanta,"1104 Wylie St SE",1,0,0,0,0,N/A
3128405,"January 30, 2025","South Carolina","Myrtle Beach (Carolina Forest)","100 block of Waccamaw Pines Dr",0,1,0,0,0,N/A
3128401,"January 30, 2025",California,"Los Angeles","8601 Lincoln Blvd",0,1,0,0,0,N/A
3128349,"January 30, 2025",Arkansas,"Little Rock","1812 Reservoir Rd",1,0,0,0,0,N/A
3128332,"January 30, 2025",California,Paramount,"15001 Paramount Blvd",0,0,1,0,0,N/A
3128318,"January 30, 2025","North Carolina",Durham,"2507 S Roxboro St",0,1,0,0,0,N/A
3128313,"January 30, 2025","North Carolina",Cary,"1205 NE Maynard Rd",0,1,0,0,1,N/A
3128290,"January 30, 2025",Illinois,Chicago,"718 W 73rd St",1,0,0,0,0,N/A
3128275,"January 30, 2025","North Carolina",Charlotte,"2400 block of N Tryon St",0,1,0,0,0,N/A
3128264,"January 30, 2025","North Carolina",Wadesboro,"Shelton Cir and E Wade St",1,1,0,0,0,N/A
3128259,"January 30, 2025",Massachusetts,Boston,"Sanford St",0,1,0,0,0,N/A
3128249,"January 30, 2025",Illinois,Christopher,"Church St",0,1,0,0,0,N/A
3128235,"January 30, 2025",Missouri,"Saint Louis","999 N 2nd St",0,1,0,0,0,N/A
3128227,"January 30, 2025",Massachusetts,Milton,"Belvoir Rd",0,1,0,0,0,N/A
3127851,"January 29, 2025",Ohio,Cleveland,"13400 block of S Woodland Rd",0,1,0,0,0,N/A
3127755,"January 29, 2025",Illinois,"Evergreen Park","87th St and S Hamlin Ave",0,2,0,0,0,N/A
3127800,"January 29, 2025",Michigan,Detroit,"15101 Greenfield Rd",0,1,0,0,0,N/A
3127721,"January 29, 2025",Alabama,Montgomery,"3200 block of Raintree Dr",0,1,0,0,0,N/A
3127776,"January 29, 2025",Indiana,Pendleton,"I-69 and State Rte 38",0,0,1,0,0,N/A
3127764,"January 29, 2025",Ohio,"Cincinnati (North College Hill)","1620 W Galbraith Rd",0,0,0,0,1,N/A
3127740,"January 29, 2025",Tennessee,Memphis,"900 block of College Park Dr",2,3,0,0,0,N/A
3127724,"January 29, 2025",Washington,Vancouver,"4500 NE 72nd Ave",1,0,0,0,1,N/A
3127691,"January 29, 2025",Georgia,Savannah,"E 35th St and Lincoln St",0,1,0,0,0,N/A
3127676,"January 29, 2025",Connecticut,"New Haven","657 Grand Ave",0,2,1,0,0,N/A
3128426,"January 29, 2025",Georgia,Atlanta,"1965 Rambling Ln",1,0,0,0,0,N/A
3128407,"January 29, 2025",Arizona,"Tempe (Guadalupe)","E Calle Iglesia and S Avenida del Yaqui",0,1,0,0,0,N/A
3128386,"January 29, 2025","South Carolina",Irmo,"1000 block of Miles Bowman Rd",1,1,0,0,0,N/A
3128378,"January 29, 2025",Mississippi,Saltillo,"Co Rd 885",0,2,0,0,1,N/A
